seqnames	start	end	width	num_sites	cov	delta_beta	delta_beta_abs	intended_delta_beta	intended_delta_beta_abs	direction	case_group	genome	background_corr_target	expected_correlation	corr_target	corr_sd_used	corr_metric_estimate	neighbor_window
chr21	15369640	15373577	3938	54	21.4194444444444	-0.269309675180687	0.269309675180687	-0.281376248975697	0.281376248975697	hypo	case		0.18332429226659	0.63	0.63	1	0.63016544858871	5
chr20	10422255	10425292	3038	74	23.6040540540541	0.333675008731212	0.333675008731212	0.323038540617853	0.323038540617853	hyper	case		0.354299012367026	0.63	0.63	1	0.63016544858871	5
chr20	40290654	40295639	4986	61	20.8319672131148	0.228120543345457	0.228120543345457	0.257652610001508	0.257652610001508	hyper	case		0.362822237830667	0.63	0.63	1	0.63016544858871	5
chr21	26937845	26940161	2317	52	18.9519230769231	-0.275230000739154	0.275230000739154	-0.313107197316393	0.313107197316393	hypo	case		0.349311290693572	0.63	0.63	1	0.63016544858871	5
chr20	28623837	28626903	3067	56	37.7955357142857	-0.261065151534406	0.261065151534406	-0.270257593324496	0.270257593324496	hypo	case		0.401691579715709	0.63	0.63	1	0.63016544858871	5
chr21	17773636	17777123	3488	90	21.2605555555556	-0.291654089712417	0.291654089712417	-0.301521284698516	0.301521284698516	hypo	case		0.367161997139997	0.63	0.63	1	0.63016544858871	5
chr20	6335022	6339913	4892	68	19.3683823529412	-0.272933929333062	0.272933929333062	-0.315566084645751	0.315566084645751	hypo	case		0.201565173557534	0.63	0.63	1	0.63016544858871	5
chr21	14917566	14921752	4187	96	19.55625	0.210522597652411	0.210522597652411	0.244782464439702	0.244782464439702	hyper	case		0.371593619952653	0.63	0.63	1	0.63016544858871	5
chr20	61059137	61063760	4624	130	23.5588461538462	-0.317976207002752	0.317976207002752	-0.342128943309014	0.342128943309014	hypo	case		0.412408456384404	0.63	0.63	1	0.63016544858871	5
chr21	22569110	22574020	4911	98	21.1571428571429	-0.293242589022799	0.293242589022799	-0.304606975319158	0.304606975319158	hypo	case		0.783343806646324	0.63	0.783343806646324	2.8	0.682213840132396	5
chr20	7193796	7196503	2708	58	24.1931034482759	-0.304428600737111	0.304428600737111	-0.302788486563471	0.302788486563471	hypo	case		0.515708298695647	0.63	0.63	1	0.63016544858871	5
chr20	7857932	7861371	3440	52	21.7192307692308	-0.30749837830793	0.30749837830793	-0.300213952973495	0.300213952973495	hypo	case		0.463895113682954	0.63	0.63	1	0.63016544858871	5
chr20	1209328	1211894	2567	56	23.2	-0.26933539644492	0.26933539644492	-0.283732435837855	0.283732435837855	hypo	case		0.301865312213581	0.63	0.63	1	0.63016544858871	5
chr21	19606184	19610525	4342	58	18.0094827586207	-0.2423086027424	0.2423086027424	-0.249181484714297	0.249181484714297	hypo	case		0.257881401492338	0.63	0.63	1	0.63016544858871	5
chr21	21877939	21881367	3429	75	22.8813333333333	-0.309660269965969	0.309660269965969	-0.318798259183362	0.318798259183362	hypo	case		0.342421360033458	0.63	0.63	1	0.63016544858871	5
chr21	30513035	30517001	3967	60	19.3583333333333	-0.197720848693343	0.197720848693343	-0.174468078808505	0.174468078808505	hypo	case		0.166573061438632	0.63	0.63	1	0.63016544858871	5
chr20	2415511	2419352	3842	118	22.6050847457627	-0.302716030257298	0.302716030257298	-0.337644699582198	0.337644699582198	hypo	case		0.29454161860843	0.63	0.63	1	0.63016544858871	5
chr20	41232007	41236651	4645	104	22.9240384615385	0.269629274498429	0.269629274498429	0.268548333149909	0.268548333149909	hyper	case		0.172890337646236	0.63	0.63	1	0.63016544858871	5
chr20	14959153	14963724	4572	90	20.7038888888889	-0.284353849337827	0.284353849337827	-0.282557036716367	0.282557036716367	hypo	case		0.197322801281057	0.63	0.63	1	0.63016544858871	5
chr21	35399026	35402066	3041	60	21.5583333333333	0.252263918603624	0.252263918603624	0.253325060145337	0.253325060145337	hyper	case		0.454835512450419	0.63	0.63	1	0.63016544858871	5
chr20	15011317	15015019	3703	74	23.5027027027027	-0.286869722339451	0.286869722339451	-0.30627916142424	0.30627916142424	hypo	case		0.447588956569262	0.63	0.63	1	0.63016544858871	5
chr21	32888611	32892551	3941	78	22.0102564102564	-0.263343870564257	0.263343870564257	-0.265059340786681	0.265059340786681	hypo	case		0.0374165657349433	0.63	0.63	1	0.63016544858871	5
chr21	19770302	19773478	3177	53	19.9490566037736	-0.276822054923061	0.276822054923061	-0.29248817317428	0.29248817317428	hypo	case		0.128104573708699	0.63	0.63	1	0.63016544858871	5
chr20	60907316	60909588	2273	68	23.4970588235294	-0.337413921391551	0.337413921391551	-0.344138024683509	0.344138024683509	hypo	case		0.0661243824420919	0.63	0.63	1	0.63016544858871	5
