seqnames	start	end	width	num_sites	cov	delta_beta	delta_beta_abs	intended_delta_beta	intended_delta_beta_abs	direction	case_group	genome	background_corr_target	expected_correlation	corr_target	corr_sd_used	corr_metric_estimate	neighbor_window
chr20	44452633	44453207	575	5	100	0.17045704570457	0.17045704570457	0.150219627133292	0.150219627133292	hyper	case	hg19	0.259768060949157	0.7	0.7	2	0.702046139072512	5
chr21	42675292	42676782	1491	6	100	-0.355255525552555	0.355255525552555	-0.3652336778699	0.3652336778699	hypo	case	hg19	0.225808635505731	0.7	0.7	2	0.702046139072512	5
chr20	3218145	3218905	761	11	100	-0.371177117711771	0.371177117711771	-0.394826003811902	0.394826003811902	hypo	case	hg19	0.281763388470277	0.7	0.7	2	0.702046139072512	5
chr20	43439387	43439688	302	5	100	0.262906290629063	0.262906290629063	0.263057319802692	0.263057319802692	hyper	case	hg19	0.478230491207128	0.7	0.7	2	0.702046139072512	5
chr20	61926731	61927820	1090	5	100	0.363876387638764	0.363876387638764	0.38903201650958	0.38903201650958	hyper	case	hg19	0.627526087045661	0.7	0.7	2	0.702046139072512	5
chr21	37756397	37757883	1487	8	100	-0.238683868386839	0.238683868386839	-0.246842483247971	0.246842483247971	hypo	case	hg19	0.0686398621368987	0.7	0.7	2	0.702046139072512	5
chr20	32899426	32900076	651	7	100	0.406820682068207	0.406820682068207	0.402303351408089	0.402303351408089	hyper	case	hg19	0.272743751144525	0.7	0.7	2	0.702046139072512	5
chr20	62367372	62368256	885	9	100	-0.286908690869087	0.286908690869087	-0.306478871784661	0.306478871784661	hypo	case	hg19	0.971102594782369	0.7	0.971102594782369	1.3	0.842949189257917	5
chr20	62178498	62179752	1255	7	100	-0.359075907590759	0.359075907590759	-0.348780627630418	0.348780627630418	hypo	case	hg19	0.109603464989559	0.7	0.7	2	0.702046139072512	5
chr20	18038296	18038771	476	6	100	0.431153115311531	0.431153115311531	0.44208254068133	0.44208254068133	hyper	case	hg19	0.18628014624755	0.7	0.7	2	0.702046139072512	5
chr21	30391383	30392289	907	8	100	0.305940594059406	0.305940594059406	0.322341922053916	0.322341922053916	hyper	case	hg19	0.159017788316992	0.7	0.7	2	0.702046139072512	5
chr20	61162000	61162112	113	5	100	-0.321192119211921	0.321192119211921	-0.32654459424863	0.32654459424863	hypo	case	hg19	0.333943533018932	0.7	0.7	2	0.702046139072512	5
chr20	43882990	43883746	757	6	100	0.27964796479648	0.27964796479648	0.299952379588931	0.299952379588931	hyper	case	hg19	0.637541746718291	0.7	0.7	2	0.702046139072512	5
chr20	748992	749620	629	8	100	-0.306800680068007	0.306800680068007	-0.304051961487826	0.304051961487826	hypo	case	hg19	0.155143306571494	0.7	0.7	2	0.702046139072512	5
chr20	34129456	34130163	708	13	100	0.406120612061206	0.406120612061206	0.39896345703434	0.39896345703434	hyper	case	hg19	0.453762162891682	0.7	0.7	2	0.702046139072512	5
chr20	43343233	43343997	765	6	100	-0.225732573257326	0.225732573257326	-0.215457543571026	0.215457543571026	hypo	case	hg19	0.283090293020298	0.7	0.7	2	0.702046139072512	5
chr21	38580129	38580812	684	5	100	0.136993699369937	0.136993699369937	0.135010244620321	0.135010244620321	hyper	case	hg19	0.363451993612507	0.7	0.7	2	0.702046139072512	5
chr20	37208947	37209999	1053	5	100	-0.204780478047805	0.204780478047805	-0.205511976563586	0.205511976563586	hypo	case	hg19	0.956806441588716	0.7	0.956806441588716	1.3	0.842949189257917	5
chr21	45744181	45745105	925	6	100	-0.376537653765377	0.376537653765377	-0.394207381610663	0.394207381610663	hypo	case	hg19	0.522600498842247	0.7	0.7	2	0.702046139072512	5
chr21	39627840	39629123	1284	5	100	-0.216441644164417	0.216441644164417	-0.221426347530801	0.221426347530801	hypo	case	hg19	0.0646695214955794	0.7	0.7	2	0.702046139072512	5
chr20	50385285	50386166	882	5	100	-0.176337633763376	0.176337633763376	-0.180340263275747	0.180340263275747	hypo	case	hg19	0.292685300429186	0.7	0.7	2	0.702046139072512	5
chr21	40756696	40758346	1651	9	100	-0.316851685168517	0.316851685168517	-0.324959222553505	0.324959222553505	hypo	case	hg19	0.270099554250618	0.7	0.7	2	0.702046139072512	5
chr21	47812611	47813491	881	6	100	-0.305900590059006	0.305900590059006	-0.306297801337545	0.306297801337545	hypo	case	hg19	0.108443351884049	0.7	0.7	2	0.702046139072512	5
chr20	5591615	5591950	336	9	100	0.39037903790379	0.39037903790379	0.390687874563318	0.390687874563318	hyper	case	hg19	0.99	0.7	0.99	1.3	0.842949189257917	5
chr20	23548991	23549525	535	6	100	-0.24963496349635	0.24963496349635	-0.259768252910477	0.259768252910477	hypo	case	hg19	0.638301838588064	0.7	0.7	2	0.702046139072512	5
chr21	31654844	31655982	1139	6	100	-0.304880488048805	0.304880488048805	-0.309157108031994	0.309157108031994	hypo	case	hg19	0.551637815995476	0.7	0.7	2	0.702046139072512	5
chr20	56883965	56885090	1126	8	100	0.384778477847785	0.384778477847785	0.386069673077972	0.386069673077972	hyper	case	hg19	0.14451807852616	0.7	0.7	2	0.702046139072512	5
chr20	61973086	61974165	1080	6	100	-0.348624862486249	0.348624862486249	-0.349665161315141	0.349665161315141	hypo	case	hg19	0.287980293479816	0.7	0.7	2	0.702046139072512	5
chr21	34143261	34145043	1783	13	100	0.485168516851685	0.485168516851685	0.489325700431423	0.489325700431423	hyper	case	hg19	0.316687699795579	0.7	0.7	2	0.702046139072512	5
chr20	23015624	23016753	1130	8	100	0.317871787178718	0.317871787178718	0.331948143265368	0.331948143265368	hyper	case	hg19	0.162557762799597	0.7	0.7	2	0.702046139072512	5
chr20	46414355	46415859	1505	16	100	0.393989398939894	0.393989398939894	0.397034598469886	0.397034598469886	hyper	case	hg19	0.528165364131842	0.7	0.7	2	0.702046139072512	5
chr21	32253206	32254161	956	5	100	-0.318891889188919	0.318891889188919	-0.319616215677349	0.319616215677349	hypo	case	hg19	0.243308006028416	0.7	0.7	2	0.702046139072512	5
chr20	3220565	3220985	421	5	100	0.358595859585959	0.358595859585959	0.361745736196167	0.361745736196167	hyper	case	hg19	0.260846888432625	0.7	0.7	2	0.702046139072512	5
chr20	58508076	58509559	1484	9	100	0.333833383338334	0.333833383338334	0.352088928701743	0.352088928701743	hyper	case	hg19	0.12695496188869	0.7	0.7	2	0.702046139072512	5
chr21	36164119	36165083	965	6	100	-0.342714271427143	0.342714271427143	-0.339140619776084	0.339140619776084	hypo	case	hg19	0.194115023775347	0.7	0.7	2	0.702046139072512	5
chr20	44657637	44658225	589	7	100	0.375977597759776	0.375977597759776	0.387683299509776	0.387683299509776	hyper	case	hg19	0.161089266646122	0.7	0.7	2	0.702046139072512	5
chr20	48806920	48807623	704	9	100	0.353375337533753	0.353375337533753	0.361350579195693	0.361350579195693	hyper	case	hg19	0.401752242318563	0.7	0.7	2	0.702046139072512	5
chr21	43161103	43162018	916	5	100	-0.281488148814882	0.281488148814882	-0.284063413261464	0.284063413261464	hypo	case	hg19	0.197645691456753	0.7	0.7	2	0.702046139072512	5
chr20	6032689	6033866	1178	5	100	0.286028602860286	0.286028602860286	0.283292030853353	0.283292030853353	hyper	case	hg19	0.9731802063548	0.7	0.9731802063548	1.3	0.842949189257917	5
chr21	44394280	44395084	805	8	100	0.432613261326133	0.432613261326133	0.440813193690679	0.440813193690679	hyper	case	hg19	0.0279916401576872	0.7	0.7	2	0.702046139072512	5
chr20	62687969	62688896	928	10	100	-0.267016701670167	0.267016701670167	-0.282755171099787	0.282755171099787	hypo	case	hg19	0.75496985821677	0.7	0.75496985821677	1.9	0.750156212573892	5
chr20	61002595	61003303	709	7	100	-0.320812081208121	0.320812081208121	-0.334134950122377	0.334134950122377	hypo	case	hg19	0.0654239480923766	0.7	0.7	2	0.702046139072512	5
chr20	1093141	1093802	662	5	100	-0.34025402540254	0.34025402540254	-0.35104112917906	0.35104112917906	hypo	case	hg19	0.290394114847449	0.7	0.7	2	0.702046139072512	5
chr21	39493344	39493881	538	8	100	-0.321082108210821	0.321082108210821	-0.321637916109409	0.321637916109409	hypo	case	hg19	0.222480897424682	0.7	0.7	2	0.702046139072512	5
chr20	57416221	57417233	1013	5	100	-0.227062706270627	0.227062706270627	-0.223660358949249	0.223660358949249	hypo	case	hg19	0.372428298034727	0.7	0.7	2	0.702046139072512	5
chr21	41238517	41239488	972	6	100	0.37985798579858	0.37985798579858	0.382790531123297	0.382790531123297	hyper	case	hg19	0.0047508483842591	0.7	0.7	2	0.702046139072512	5
chr20	31123396	31124876	1481	6	100	0.434173417341734	0.434173417341734	0.440847200747768	0.440847200747768	hyper	case	hg19	0.665254010064146	0.7	0.7	2	0.702046139072512	5
