seqnames	start	end	width	num_sites	cov	delta_beta	delta_beta_abs	intended_delta_beta	intended_delta_beta_abs	direction	case_group	genome	background_corr_target	expected_correlation	corr_target	corr_sd_used	corr_metric_estimate	neighbor_window
chr20	35443978	35444560	583	6	100	-0.23016301630163	0.23016301630163	-0.229354427655858	0.229354427655858	hypo	case	hg19	0.178655178852792	0.46	0.46	0.2	0.413269066214282	5
chr20	30225325	30226046	722	9	100	-0.468306830683068	0.468306830683068	-0.481377603528803	0.481377603528803	hypo	case	hg19	0.172297574631556	0.46	0.46	0.2	0.413269066214282	5
chr20	61846766	61848140	1375	13	100	0.465506550655066	0.465506550655066	0.471769585632159	0.471769585632159	hyper	case	hg19	0.306649340778844	0.46	0.46	0.2	0.413269066214282	5
chr20	32307885	32308529	645	10	100	0.436033603360336	0.436033603360336	0.439333340779705	0.439333340779705	hyper	case	hg19	0.264826144434902	0.46	0.46	0.2	0.413269066214282	5
chr21	38352880	38353318	439	5	100	0.302110211021102	0.302110211021102	0.304100630467077	0.304100630467077	hyper	case	hg19	0.410979584946139	0.46	0.46	0.2	0.413269066214282	5
chr21	45844767	45845495	729	5	100	-0.412921292129213	0.412921292129213	-0.437785948179368	0.437785948179368	hypo	case	hg19	0.0392711191276898	0.46	0.46	0.2	0.413269066214282	5
chr20	56964015	56964831	817	10	100	0.234963496349635	0.234963496349635	0.230684421186415	0.230684421186415	hyper	case	hg19	0.255065139871823	0.46	0.46	0.2	0.413269066214282	5
chr20	36155925	36157764	1840	54	100	0.444164416441644	0.444164416441644	0.447544537014853	0.447544537014853	hyper	case	hg19	0.135112498044377	0.46	0.46	0.2	0.413269066214282	5
chr20	5891730	5892599	870	9	100	0.248664866486649	0.248664866486649	0.243943452181956	0.243943452181956	hyper	case	hg19	0.799645314750417	0.46	0.799645314750417	0.7	0.802161543675983	5
chr21	16437288	16438166	879	6	100	0.283178317831783	0.283178317831783	0.280995221069379	0.280995221069379	hyper	case	hg19	0.0128417172885622	0.46	0.46	0.2	0.413269066214282	5
chr20	30310246	30311963	1718	13	100	0.419181918191819	0.419181918191819	0.431106610737769	0.431106610737769	hyper	case	hg19	0.0671578237268663	0.46	0.46	0.2	0.413269066214282	5
chr20	61923848	61924802	955	5	100	0.274147414741474	0.274147414741474	0.278936852799543	0.278936852799543	hyper	case	hg19	0.0131800257423607	0.46	0.46	0.2	0.413269066214282	5
